content	emotion1	emotion2	sentiment
回复@王羊羊的微博:是，要的就是安静的生存环境，而且，到北京五环25分钟车程，938离我住处只有300米，饮食一条街更是北京饮食街的翻版，应有尽有。 //@王羊羊的微博:廊坊是个好地方，紧邻京津，有点闹中取静的意思。 	none	none	0
录入。 //@广州Les_go:我捻依出戏真系好多les噶最爱咯。 好写实同时都好向往。 难得一部反映les噶情感同面临噶困难噶一出粤语电影。 	none	none	0
QQ培训班群早盘操作提示:由于上周再收十字星,市场是下跌中继还是初步见底？ 本周将会有一结果。 目前股指下破20 30周线的支撑已三周,5周线本周将与20 30周线形成死叉，显示中期调整仍在进行之中,市场重心下移的趋势难以改变, 	none	none	0
今儿老爸逮着我一顿狠念！ 念得我各种烦躁…… 我要不要考虑下降低回家的频率啊 回来一次吵一次= =真烦人！！！ 	disgust	none	-1
高智传媒董事长，??????????? 杂志社何智光先生（右）从摄影器材的发展史谈起，数码全面取代胶片，速度之快远超出想像，关于纸媒和数字化媒体的争论就好比当初胶片和数码的争论。 从广告数据的投放看，杂志份额一直在缩小，传统媒体必须求变。 摄影之友目前已开始做针对ipad的App，目前已有37万订阅量。 	none	none	0
招聘:代写毕业论文 。 论文大纲已拟好。 参考资料齐全。 字数一万以上。 工资200 非诚勿扰 有意向请留言(妈的我是真的没空写这逼玩意儿了啊!) 	disgust	none	-1
每天生活在欺骗中 又要言说别人的不忠 却也离不开 纠缠不清 不知为何 是利益呢还是利益呢还是利益呢 是假好人呢还是假好人呢还是假好人呢 	disgust	none	-1
[抓狂]我竟然被那个考了车牌几个月但一直没有开过车的老妈笑话我笨！ 说我玩得屎！ 谁知她自己上场… 一局就拉倒！ 哈哈哈哈哈哈哈哈！ 我好歹也玩了三局！ [耶]哈哈哈！ 你的车牌不愧是买回来的！ 她最后还说… 开真车比这个好玩多了！ 我擦！！！ 	happiness	surprise	1
3号值班，4号5号休假，6号7号8号三天去任丘培训。。 三天满满当当的，除了晚上好像没事儿，谁在任丘啊，约我哇约我哇~~ 	happiness	none	1
扬州一本地话节目，以前看看还可以，现在扫了眼，那个钟挂那过段时间响声替个公司做个广告，唉不晓得他们工作人员怎么想的，这么龊的插入广告方式，看扬州台的全老头老太，等过了些年等老人们仙去扬州台可以关门了阿， 	disgust	none	-1
在考虑是否要回刷2.3Rom，黑/锁屏状态，屏幕微微亮; 发烫耗电快… 这让我蛋疼！ 不过，喜欢4.0原生态的界面！ 	like	disgust	3
尼玛！！！！ 好好听！！！！！！！！！！！！ 我禁不住的鼓鼓掌[鼓掌] [鼓掌] [鼓掌] [鼓掌] [鼓掌] [鼓掌] [鼓掌] 	like	none	1
这家饭店改版后第一次来： 一、环境比之前更宽松，更开放的感觉，点饭也更开放，增加套餐类增值强用户体验服务； 二、大间中隔小间隔而未隔，空间凸显更大，感觉舒适，并且配置更多液晶显示器提供电视节目； 三、最倒灶的洗手间味道比之前好多了； 四、整个从屋顶设计到各个角落细节营造温暖舒适感觉尝试营 	none	none	0
我遇到小偷了，新疆人，两个。 一个摸我左边的书包，我往左看时，另一个摸我右边的口袋！ 真有组织，有纪律。 大家要小心啊，在三里屯的天桥上。[委屈] 	fear	none	-1
轻轨上，《苦瓜》单曲循环。 半生瓜。 想起那年在察卡盐湖的日落，听了多少遍升哥的《二十年以前》。 这无物之阵。 你有狼牙棒，哥有天灵盖。 到站了，开会。 	none	none	0
正在等飞机。 短信通知误人。 登机囗临时变更，从T3这边的F1变到另一边的F1。 中午吃多了，被国航一转场，全消食了。 介要是来得晚可咋办啊！ 	disgust	none	-1
Tomouse：这里的雨洼刚刚干涸／户外刮起的风带着海水的味道／我只知道那个和这个时候的我很是想念那橙色灯光里跳动的家肴／温暖的被褥／还有临睡前流淌的涓涓细语／其实沉默的环境并不可怕／怕的是沉默的心[泪][泪][泪][泪][泪] 	sadness	none	-1
新加坡是举世公认的成功反腐国家，官员们前往考察。 接待者介绍经验：①不让有不良嗜好或品德修养差的人做公务员；②法律规定公务员上任后每年必须申报个人财产；③新任职公务员会被人暗中调查其腐败行为；④严刑峻法使人不敢贪；⑤高薪养廉。 官员一致认为，第五条值得借鉴！ 	anger	none	-1
当时则是直接从翻来覆去睡不着，到在一个新的地方的床上很困但睡不着，翻来翻去，一会儿觉得床单粗砺（是红黄相杂的老旧西洋花纹），一会儿觉得房间隔音不好，楼上有人咚咚摔倒。 我还看到我的东西都从旅行包里拿出来没整理，摊了房间一地，就像我家和我住过的旅馆房间情形一样， 	disgust	none	-1
去年的今天我去上了政治辅导班，回来看芒果台的跨年晚会，然后叠了纸飞机在上面许下了心愿。 又要重复我每年必说的台词了，2010就要过去了，我很怀念它。 至少，它看上去很美。 欢迎你，2011，新年快乐！ 	happiness	like	1
Sexy girl在等人来接她。 我以为会出现一辆豪车.. 但竟然是落嘞的旧款旭峰电动车。 怎么了? 好白菜都给猪拱了.. 	surprise	none	2
妈妈最爱包饺子，她觉得包饺子是最简单最方便的。 姥姥包饺子喜欢多放油，妈妈爱包肉丸子，三姨的特点是薄皮大馅多放菜，二姨手最快，四姨不擅家务，要包就是纯羊肉馅的。 好像没吃过小姨包的饺子，她跟我一样是个纯粹的好吃懒做。 	none	none	0
深深浅浅的脚印，印实一串串苍然的寂寞，世界有经线和纬线，也有界河阻挡着象的脚步。 人生就像一盘棋，哭是一步棋，笑也是一步棋，沉默不语，泰然自若，含而不露面带微笑，也是一步棋。 不管这盘棋的结局如何，去体验一次。 生活应该是一种充满热情的体验，而不是漫长苦捱的日子。 快乐人生,善待自己. 	none	none	0
近日，中央电视台中文国际频道就第三届世界佛教论坛暨佛顶骨舍利赴港澳供奉活动专访了中国佛教协会副会长学诚法师。 	none	none	0
哥哥你什么时候能下面给我吃呢 我给你弄过十几回了 你都没有~~~~~~(_)~~~~ 	sadness	none	-1
老爸昨天炖肉把锅弄糊了，今天刷锅，好不容易把漆黑的锅刷的看见原来的颜色后，他漏了！ 但是老爸又说了！ 这锅不扔，明天再钜上、、、 我：[泪] [泪] 	surprise	none	2
下午到台里，吴凤花和方亚芬正在换装。 我刚过去打个招呼，就被德才老师说耽误他们录像。 我那个冤呢。 我说我没采访。 他说聊天也不行，耽误穿服装。 方姐姐说腿好的话就来段对花枪了。 	sadness	none	-1
京沈高速（兴城段），进入辽宁境内后发现大雾严重影响视线，能见度不足五十米，大家注意控制车速吧，祝平安。 另外万家段北京方向塞车严重，不知道是否因大雾天气关闭。 小心慢行！ 	none	none	0
其二，从题为《国企高管与一线职工收入差距已达18倍》、《五粮液涨价唱双簧 高管涨薪10余倍独享涨价红利》、《中国即将提高贫困标准 可能致贫困人口总数上亿》、《官员称若提高个税起征点 中西部个税或将绝收》等近期的报道中不难得出国企普通职工薪酬并不高的结论； 	none	none	0
好难过 为什么每天都回忆你 为什么每天都想起你 为什么每天都好痴累 早结束了 怎么还在爱 	sadness	none	-1
为什么我的房间那么干呢，嗓子疼啊~！ 今早起来更体现出了我昨天排练的成果，腰酸背痛！！！ 不过彭老师今早出门说的那句话我也赞同...... 	sadness	none	-1
低温天气持续笼罩上海，今晨虹桥机场实测温度接近零下5度，因晚上空调关闭，虹桥火车站中转旅客靠跑步取暖 	none	none	0
刚才听说一位小患者（和媛媛同岁的女孩）被撵到七楼去了，看着她妈妈幸福的样子心里真羡慕啊，到七楼普通病房说明已经大为好转不用在特护病房了，那个贾鑫小朋友明天也要出院了，都是历经生死的孩子，也都是和我们前后进仓的，他们一个出院一个下楼了，真的很期待属于我们的那一天！！ 真的~~ 	like	happiness	1
说话前想清楚自己什么身份好吗... 别人家的事干你外人什么关系... 您还想要面子就别雷我了......... 长再大我也依旧讨厌你... 敢喷你...... 	disgust	none	-1
官员们背后都有一个《红楼》，有钱人的子女全部《西游》，地方政府正在上演《三国》，老百姓们也只能酝酿着《水浒》了 	none	none	0
